current_path,current_filename,normalized,suggested_path,size,suspicious
"icons/0 dado.svg","0 dado.svg","0_dado","icons/0_dado.svg","2496","no"
"icons/1 cêntimo.svg","1 cêntimo.svg","1_centimo","icons/1_centimo.svg","6956","no"
"icons/1 cИntimo.svg","1 cИntimo.svg","1_cintimo","icons/1_cintimo.svg","6956","yes"
"icons/1 dado.svg","1 dado.svg","1_dado","icons/1_dado.svg","2668","no"
"icons/1 euro.svg","1 euro.svg","1_euro","icons/1_euro.svg","21048","no"
"icons/1-2-3.svg","1-2-3.svg","1_2_3","icons/1_2_3.svg","15676","no"
"icons/10 cИntimos.svg","10 cИntimos.svg","10_cintimos","icons/10_cintimos.svg","10608","yes"
"icons/10 euros.svg","10 euros.svg","10_euros","icons/10_euros.svg","12100","no"
"icons/100 euros.svg","100 euros.svg","100_euros","icons/100_euros.svg","14928","no"
"icons/11268.svg","11268.svg","11268","icons/11268.svg","28468","no"
"icons/12301.svg","12301.svg","12301","icons/12301.svg","13992","no"
"icons/12307.svg","12307.svg","12307","icons/12307.svg","15880","no"
"icons/14010.svg","14010.svg","14010","icons/14010.svg","11388","no"
"icons/17010.svg","17010.svg","17010","icons/17010.svg","10176","no"
"icons/17012.svg","17012.svg","17012","icons/17012.svg","10452","no"
"icons/2 cИntimos.svg","2 cИntimos.svg","2_cintimos","icons/2_cintimos.svg","8876","yes"
"icons/2 dado.svg","2 dado.svg","2_dado","icons/2_dado.svg","4184","no"
"icons/2 euros.svg","2 euros.svg","2_euros","icons/2_euros.svg","28276","no"
"icons/20 cИntimos.svg","20 cИntimos.svg","20_cintimos","icons/20_cintimos.svg","15160","yes"
"icons/20 euros.svg","20 euros.svg","20_euros","icons/20_euros.svg","14508","no"
"icons/200 euros.svg","200 euros.svg","200_euros","icons/200_euros.svg","14236","no"
"icons/24087.svg","24087.svg","24087","icons/24087.svg","16412","no"
"icons/24819.svg","24819.svg","24819","icons/24819.svg","13008","no"
"icons/24826.svg","24826.svg","24826","icons/24826.svg","13508","no"
"icons/24827.svg","24827.svg","24827","icons/24827.svg","12072","no"
"icons/24829.svg","24829.svg","24829","icons/24829.svg","19144","no"
"icons/24830.svg","24830.svg","24830","icons/24830.svg","17612","no"
"icons/24831.svg","24831.svg","24831","icons/24831.svg","6104","no"
"icons/24834.svg","24834.svg","24834","icons/24834.svg","9400","no"
"icons/24858.svg","24858.svg","24858","icons/24858.svg","7416","no"
"icons/24865.svg","24865.svg","24865","icons/24865.svg","14528","no"
"icons/24866.svg","24866.svg","24866","icons/24866.svg","18836","no"
"icons/24867.svg","24867.svg","24867","icons/24867.svg","14140","no"
"icons/24868.svg","24868.svg","24868","icons/24868.svg","16468","no"
"icons/24874.svg","24874.svg","24874","icons/24874.svg","20228","no"
"icons/24878.svg","24878.svg","24878","icons/24878.svg","6516","no"
"icons/24881.svg","24881.svg","24881","icons/24881.svg","16336","no"
"icons/24882.svg","24882.svg","24882","icons/24882.svg","14676","no"
"icons/24891.svg","24891.svg","24891","icons/24891.svg","15804","no"
"icons/24892.svg","24892.svg","24892","icons/24892.svg","13724","no"
"icons/24895.svg","24895.svg","24895","icons/24895.svg","13300","no"
"icons/24896.svg","24896.svg","24896","icons/24896.svg","8144","no"
"icons/24897.svg","24897.svg","24897","icons/24897.svg","11564","no"
"icons/24898.svg","24898.svg","24898","icons/24898.svg","8972","no"
"icons/24910.svg","24910.svg","24910","icons/24910.svg","10680","no"
"icons/24917.svg","24917.svg","24917","icons/24917.svg","13788","no"
"icons/24918.svg","24918.svg","24918","icons/24918.svg","13372","no"
"icons/24929.svg","24929.svg","24929","icons/24929.svg","13432","no"
"icons/24930.svg","24930.svg","24930","icons/24930.svg","8484","no"
"icons/24937.svg","24937.svg","24937","icons/24937.svg","12016","no"
"icons/24938.svg","24938.svg","24938","icons/24938.svg","11516","no"
"icons/24943.svg","24943.svg","24943","icons/24943.svg","11348","no"
"icons/24944.svg","24944.svg","24944","icons/24944.svg","10004","no"
"icons/24947.svg","24947.svg","24947","icons/24947.svg","9640","no"
"icons/24948.svg","24948.svg","24948","icons/24948.svg","9228","no"
"icons/24952.svg","24952.svg","24952","icons/24952.svg","13116","no"
"icons/24955.svg","24955.svg","24955","icons/24955.svg","20172","no"
"icons/24956.svg","24956.svg","24956","icons/24956.svg","20144","no"
"icons/24957.svg","24957.svg","24957","icons/24957.svg","17916","no"
"icons/24961.svg","24961.svg","24961","icons/24961.svg","20436","no"
"icons/24964.svg","24964.svg","24964","icons/24964.svg","12232","no"
"icons/24968.svg","24968.svg","24968","icons/24968.svg","20460","no"
"icons/24978.svg","24978.svg","24978","icons/24978.svg","9600","no"
"icons/24980.svg","24980.svg","24980","icons/24980.svg","12488","no"
"icons/24981.svg","24981.svg","24981","icons/24981.svg","10792","no"
"icons/24984.svg","24984.svg","24984","icons/24984.svg","24704","no"
"icons/24986.svg","24986.svg","24986","icons/24986.svg","18140","no"
"icons/24987.svg","24987.svg","24987","icons/24987.svg","15176","no"
"icons/24991.svg","24991.svg","24991","icons/24991.svg","15904","no"
"icons/24994.svg","24994.svg","24994","icons/24994.svg","7256","no"
"icons/24995.svg","24995.svg","24995","icons/24995.svg","8444","no"
"icons/25004.svg","25004.svg","25004","icons/25004.svg","17648","no"
"icons/25006.svg","25006.svg","25006","icons/25006.svg","12996","no"
"icons/25007.svg","25007.svg","25007","icons/25007.svg","13396","no"
"icons/25010.svg","25010.svg","25010","icons/25010.svg","11208","no"
"icons/25011.svg","25011.svg","25011","icons/25011.svg","9604","no"
"icons/25014.svg","25014.svg","25014","icons/25014.svg","4632","no"
"icons/25015.svg","25015.svg","25015","icons/25015.svg","7620","no"
"icons/25017.svg","25017.svg","25017","icons/25017.svg","8772","no"
"icons/25024.svg","25024.svg","25024","icons/25024.svg","37692","no"
"icons/25026.svg","25026.svg","25026","icons/25026.svg","14344","no"
"icons/25028.svg","25028.svg","25028","icons/25028.svg","9704","no"
"icons/25029.svg","25029.svg","25029","icons/25029.svg","8868","no"
"icons/25036.svg","25036.svg","25036","icons/25036.svg","25944","no"
"icons/25038.svg","25038.svg","25038","icons/25038.svg","10280","no"
"icons/25041.svg","25041.svg","25041","icons/25041.svg","7220","no"
"icons/25043.svg","25043.svg","25043","icons/25043.svg","6684","no"
"icons/25046.svg","25046.svg","25046","icons/25046.svg","10540","no"
"icons/25049.svg","25049.svg","25049","icons/25049.svg","9848","no"
"icons/25052.svg","25052.svg","25052","icons/25052.svg","23776","no"
"icons/25053.svg","25053.svg","25053","icons/25053.svg","19244","no"
"icons/25056.svg","25056.svg","25056","icons/25056.svg","18312","no"
"icons/25059.svg","25059.svg","25059","icons/25059.svg","8240","no"
"icons/25064.svg","25064.svg","25064","icons/25064.svg","12468","no"
"icons/25065.svg","25065.svg","25065","icons/25065.svg","14428","no"
"icons/25068.svg","25068.svg","25068","icons/25068.svg","10760","no"
"icons/25069.svg","25069.svg","25069","icons/25069.svg","7372","no"
"icons/25087.svg","25087.svg","25087","icons/25087.svg","13312","no"
"icons/25091.svg","25091.svg","25091","icons/25091.svg","28204","no"
"icons/25092.svg","25092.svg","25092","icons/25092.svg","25380","no"
"icons/25095.svg","25095.svg","25095","icons/25095.svg","15596","no"
"icons/25096.svg","25096.svg","25096","icons/25096.svg","13120","no"
"icons/25099.svg","25099.svg","25099","icons/25099.svg","13516","no"
"icons/25100.svg","25100.svg","25100","icons/25100.svg","14644","no"
"icons/25103.svg","25103.svg","25103","icons/25103.svg","32672","no"
"icons/25104.svg","25104.svg","25104","icons/25104.svg","26288","no"
"icons/25108.svg","25108.svg","25108","icons/25108.svg","19840","no"
"icons/25112.svg","25112.svg","25112","icons/25112.svg","11356","no"
"icons/25115.svg","25115.svg","25115","icons/25115.svg","6764","no"
"icons/25116.svg","25116.svg","25116","icons/25116.svg","6696","no"
"icons/25122.svg","25122.svg","25122","icons/25122.svg","10708","no"
"icons/25126.svg","25126.svg","25126","icons/25126.svg","14796","no"
"icons/25129.svg","25129.svg","25129","icons/25129.svg","10512","no"
"icons/25130.svg","25130.svg","25130","icons/25130.svg","11736","no"
"icons/25134.svg","25134.svg","25134","icons/25134.svg","9924","no"
"icons/25139.svg","25139.svg","25139","icons/25139.svg","18388","no"
"icons/25140.svg","25140.svg","25140","icons/25140.svg","18084","no"
"icons/25142.svg","25142.svg","25142","icons/25142.svg","16736","no"
"icons/25143.svg","25143.svg","25143","icons/25143.svg","22616","no"
"icons/25144.svg","25144.svg","25144","icons/25144.svg","20144","no"
"icons/25147.svg","25147.svg","25147","icons/25147.svg","8248","no"
"icons/25148.svg","25148.svg","25148","icons/25148.svg","10064","no"
"icons/25153.svg","25153.svg","25153","icons/25153.svg","16124","no"
"icons/25154.svg","25154.svg","25154","icons/25154.svg","13536","no"
"icons/25157.svg","25157.svg","25157","icons/25157.svg","12084","no"
"icons/25159.svg","25159.svg","25159","icons/25159.svg","8144","no"
"icons/25160.svg","25160.svg","25160","icons/25160.svg","7732","no"
"icons/25163.svg","25163.svg","25163","icons/25163.svg","14952","no"
"icons/25165.svg","25165.svg","25165","icons/25165.svg","5228","no"
"icons/25168.svg","25168.svg","25168","icons/25168.svg","4436","no"
"icons/25169.svg","25169.svg","25169","icons/25169.svg","7708","no"
"icons/25170.svg","25170.svg","25170","icons/25170.svg","4560","no"
"icons/25172.svg","25172.svg","25172","icons/25172.svg","12140","no"
"icons/25175.svg","25175.svg","25175","icons/25175.svg","19060","no"
"icons/25176.svg","25176.svg","25176","icons/25176.svg","16776","no"
"icons/25185.svg","25185.svg","25185","icons/25185.svg","17620","no"
"icons/25188.svg","25188.svg","25188","icons/25188.svg","15868","no"
"icons/25197.svg","25197.svg","25197","icons/25197.svg","7660","no"
"icons/25199.svg","25199.svg","25199","icons/25199.svg","14280","no"
"icons/25200.svg","25200.svg","25200","icons/25200.svg","14300","no"
"icons/25204.svg","25204.svg","25204","icons/25204.svg","11320","no"
"icons/25207.svg","25207.svg","25207","icons/25207.svg","30868","no"
"icons/25216.svg","25216.svg","25216","icons/25216.svg","16860","no"
"icons/25219.svg","25219.svg","25219","icons/25219.svg","6724","no"
"icons/25220.svg","25220.svg","25220","icons/25220.svg","6168","no"
"icons/25221.svg","25221.svg","25221","icons/25221.svg","6496","no"
"icons/25222.svg","25222.svg","25222","icons/25222.svg","6148","no"
"icons/25231.svg","25231.svg","25231","icons/25231.svg","18508","no"
"icons/25234.svg","25234.svg","25234","icons/25234.svg","14268","no"
"icons/25238.svg","25238.svg","25238","icons/25238.svg","13492","no"
"icons/25241.svg","25241.svg","25241","icons/25241.svg","23760","no"
"icons/25242.svg","25242.svg","25242","icons/25242.svg","14468","no"
"icons/25243.svg","25243.svg","25243","icons/25243.svg","19592","no"
"icons/25244.svg","25244.svg","25244","icons/25244.svg","16180","no"
"icons/25249.svg","25249.svg","25249","icons/25249.svg","9500","no"
"icons/25250.svg","25250.svg","25250","icons/25250.svg","11068","no"
"icons/25254.svg","25254.svg","25254","icons/25254.svg","9944","no"
"icons/25257.svg","25257.svg","25257","icons/25257.svg","7664","no"
"icons/25258.svg","25258.svg","25258","icons/25258.svg","7228","no"
"icons/25262.svg","25262.svg","25262","icons/25262.svg","10004","no"
"icons/25265.svg","25265.svg","25265","icons/25265.svg","17852","no"
"icons/25266.svg","25266.svg","25266","icons/25266.svg","14856","no"
"icons/25270.svg","25270.svg","25270","icons/25270.svg","10460","no"
"icons/25273.svg","25273.svg","25273","icons/25273.svg","11680","no"
"icons/25278.svg","25278.svg","25278","icons/25278.svg","12224","no"
"icons/25279.svg","25279.svg","25279","icons/25279.svg","11240","no"
"icons/25284.svg","25284.svg","25284","icons/25284.svg","11704","no"
"icons/25285.svg","25285.svg","25285","icons/25285.svg","11564","no"
"icons/25288.svg","25288.svg","25288","icons/25288.svg","5096","no"
"icons/25289.svg","25289.svg","25289","icons/25289.svg","14676","no"
"icons/25290.svg","25290.svg","25290","icons/25290.svg","14700","no"
"icons/25294.svg","25294.svg","25294","icons/25294.svg","10232","no"
"icons/25304.svg","25304.svg","25304","icons/25304.svg","15132","no"
"icons/25308.svg","25308.svg","25308","icons/25308.svg","8780","no"
"icons/25311.svg","25311.svg","25311","icons/25311.svg","23456","no"
"icons/25312.svg","25312.svg","25312","icons/25312.svg","19884","no"
"icons/25317.svg","25317.svg","25317","icons/25317.svg","6804","no"
"icons/25319.svg","25319.svg","25319","icons/25319.svg","28752","no"
"icons/25322.svg","25322.svg","25322","icons/25322.svg","8568","no"
"icons/25328.svg","25328.svg","25328","icons/25328.svg","7920","no"
"icons/25332.svg","25332.svg","25332","icons/25332.svg","9644","no"
"icons/25336.svg","25336.svg","25336","icons/25336.svg","12680","no"
"icons/25339.svg","25339.svg","25339","icons/25339.svg","15544","no"
"icons/25340.svg","25340.svg","25340","icons/25340.svg","13780","no"
"icons/25344.svg","25344.svg","25344","icons/25344.svg","11468","no"
"icons/25353.svg","25353.svg","25353","icons/25353.svg","13380","no"
"icons/25359.svg","25359.svg","25359","icons/25359.svg","21604","no"
"icons/25360.svg","25360.svg","25360","icons/25360.svg","18240","no"
"icons/25365.svg","25365.svg","25365","icons/25365.svg","23280","no"
"icons/25366.svg","25366.svg","25366","icons/25366.svg","19812","no"
"icons/25369.svg","25369.svg","25369","icons/25369.svg","12640","no"
"icons/25370.svg","25370.svg","25370","icons/25370.svg","11852","no"
"icons/25373.svg","25373.svg","25373","icons/25373.svg","16008","no"
"icons/25374.svg","25374.svg","25374","icons/25374.svg","13412","no"
"icons/25382.svg","25382.svg","25382","icons/25382.svg","8396","no"
"icons/25385.svg","25385.svg","25385","icons/25385.svg","10780","no"
"icons/25386.svg","25386.svg","25386","icons/25386.svg","10084","no"
"icons/25389.svg","25389.svg","25389","icons/25389.svg","6732","no"
"icons/25390.svg","25390.svg","25390","icons/25390.svg","6372","no"
"icons/25393.svg","25393.svg","25393","icons/25393.svg","17180","no"
"icons/25394.svg","25394.svg","25394","icons/25394.svg","11580","no"
"icons/25398.svg","25398.svg","25398","icons/25398.svg","15004","no"
"icons/25401.svg","25401.svg","25401","icons/25401.svg","9992","no"
"icons/25402.svg","25402.svg","25402","icons/25402.svg","9300","no"
"icons/25423.svg","25423.svg","25423","icons/25423.svg","14460","no"
"icons/25424.svg","25424.svg","25424","icons/25424.svg","10696","no"
"icons/25429.svg","25429.svg","25429","icons/25429.svg","30852","no"
"icons/25430.svg","25430.svg","25430","icons/25430.svg","25644","no"
"icons/25433.svg","25433.svg","25433","icons/25433.svg","33944","no"
"icons/25434.svg","25434.svg","25434","icons/25434.svg","27496","no"
